0,11;1;1;1;29102018;15;1;0;1;0;1;71;4;3;0;0;1;5092018;1;2;1;1;1;1;4;1;1;4;4;4;1;1;4;1;1;2;3;1;1;1;1;4;1;4;1;4;1;1;4;1;1;4;1;1;1;1;4;4;4;4;1
0,12;1;1;1;29102018;15;1;0;1;0;2;67;2;3;0;0;1;23092016;1;3;1;1;1;1;3;1;3;1;3;1;3;1;3;3;3;1;1;3;1;1;3;1;1;3;2;3;1;1;3;1;1;1;1;1;3;1;3;3;3;1;1
0,13;1;1;1;23102018;10;1;0;1;0;2;71;2;3;0;0;1;30072013;1;3;1;1;1;1;3;1;1;1;4;4;4;3;4;2;4;1;1;4;4;1;4;4;1;4;1;4;1;1;3;1;1;3;4;1;2;1;4;1;4;2;1
0,14;1;1;1;23102018;10;1;0;1;0;1;68;3;4;0;0;1;2072018;1;1;1;3;1;3;4;1;2;1;4;3;4;1;3;3;4;2;1;4;3;2;1;3;1;4;1;4;1;4;4;2;4;3;4;1;3;1;4;4;4;1;3
0,15;1;1;1;23102018;15;1;0;1;0;1;64;2;4;0;0;1;29082018;1;2;2;3;4;3;2;1;2;1;1;4;4;1;4;2;4;1;3;3;4;2;3;1;3;3;3;3;1;4;4;2;2;4;3;3;4;1;4;4;4;2;4
0,16;1;1;1;16102018;15;1;0;1;0;2;70;2;4;0;0;1;21062018;1;2;1;2;1;1;4;1;3;4;4;4;4;2;4;2;1;1;1;3;3;1;4;3;1;4;1;4;1;2;4;1;2;4;4;1;2;1;3;4;4;3;1
0,17;1;1;1;16102018;15;1;0;1;0;2;75;2;2;0;0;1;3092018;1;1;3;1;1;4;4;4;4;2;4;3;4;3;4;4;4;4;4;4;3;3;4;4;2;4;3;4;4;4;2;4;4;3;4;2;4;4;4;4;2;3;2
0,18;1;1;1;16102018;25;1;0;1;0;2;76;2;3;0;0;1;16122014;1;2;1;1;1;1;4;4;1;2;4;2;4;1;1;3;4;1;1;3;4;1;3;4;1;4;1;3;1;1;4;3;4;2;4;2;1;1;4;3;4;3;1
0,19;1;1;1;8102018;10;2;0;1;0;2;73;1;4;0;0;1;15022017;1;1;1;1;1;1;1;1;4;1;4;1;4;1;4;1;3;1;1;4;1;1;4;4;1;1;1;4;1;1;1;1;1;1;1;1;4;1;4;3;4;1;1
0,2;1;1;1;8102018;5;2;0;1;0;2;54;2;4;0;0;1;17042015;1;1;3;3;2;4;4;2;2;1;4;3;2;3;4;2;4;1;1;3;1;1;3;3;2;4;1;4;2;2;4;2;3;2;4;2;2;3;4;4;3;2;2
0,21;1;1;1;27092018;15;2;0;1;0;2;68;2;3;0;0;1;12042018;1;1;2;3;1;3;4;1;4;1;4;3;4;1;4;2;1;1;1;3;4;1;1;3;1;3;1;4;1;3;4;1;3;4;4;1;4;1;3;2;4;2;1
